field,display_name,browse_link,external_link
title,Title,
creator,Creator,
date,Date Created,
description,Description,
subject,Subjects,true
location,Location
latitude,Latitude
longitude,Longitude
source,Source
identifier,Source Identifier,,
type,Type,
format,Format,
rights,Rights,
rightsstatement,Rights Statement,,true
collection_name,Collection Title
collection_item_format,Format
collection_item,Collection Item
collected_by,Collected By
donated_by,Donated By
link_to_collection,Link to Collection
