objectid,filename,title,format,latitude,longitude,date,location,subject,rights,collection_name,collection_item_format,collection_item,collected_by,donated_by,link_to_collection,description
n01,nosatsu_baby_and_fish.jpg,Baby and Fish,image/jpeg,35.4437,139.638,1920-1990,Japan,baby; fish; slip; black; white; nosatsu;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Sobundo senjafuda collection, circa 1920-1990""",27.75 linear ft. (16 containers),Box 4,Sato Masao (Shubundo),Shiro Sato,https://alliance-uoregon.primo.exlibrisgroup.com/discovery/fulldisplay?vid=01ALLIANCE_UO:UO&docid=alma99900463273401852&inst=01ALLIANCE_UO&lang=en&context=L&adaptor=Local%20Search%20Engine&offset=0,A black and white nosatsu slip depicts a naked human figure wrestling a fish the same size as it. The bottom left corner of the slip contains writing in Japanese script.
n02,nosatsu_english_letter.jpg,Letter in English,image/jpeg,35.4437,139.638,1841-1932,Japan,page; english; letter; nosatsu;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Collection of the Japanese color-printed placards and greeting cards, called Nōsatsu or Senjafuda""",Book. 59 volumes (unpaged double leaves) mounted color illustrations 31-39 cm,Volume 51,Frederick Starr,Gertrude Bass Warner Collection,"https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma9979576601852 
","A printed slip covers a half page of this volume. The print shows a letter signed by Frederick Starr in english on a yellow field. A purple field contains another letter. or maybe the same letter, in Japanese script."
n03,nosatsu_figure_collection.jpg,Figure Collection,image/jpeg,35.4437,139.638,"
1841-1932",Japan,page; slips; nosatsu; figure; collection;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Collection of the Japanese color-printed placards and greeting cards, called Nōsatsu or Senjafuda""","Book. 59 volumes (unpaged double leaves) mounted color illustrations 31-39 cm. Volume 53 has tab inscribed: ""Senjafuda chō.""",Volume 53,Frederick Starr,Gertrude Bass Warner Collection,https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma9979576601852,Two pages of this volume show 12 nosatsu slips of variying sizes and styles.
n04,nosatsu_landscape.jpg,Landscape,image/jpeg,35.4437,139.638,1913-1931,Japan,page; landscape; nature; nosatsu; water; flower;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Album containing Nōsatsu or Senjafuda""","1 volume : 31 unnumbered mounted color woodcuts, 18 x 26 cm","Cover Title: ""Kichirei shokai""",Unknown,,https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma99900885296901852,"Two pages of this volume contain full page prints in color. The left side shows a bundle of flowers, the right shows a shrine gate."
n05,nosatsu_lobster.jpg,Lobster,image/jpeg,35.4437,139.638,1920-1990,Japan,lobster; slip; orange; red; blue; nosatsu;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Sobundo senjafuda collection, circa 1920-1990""",Box (box of loose senjafuda),Box 4,Sato Masao (Shubundo),Shiro Sato,https://alliance-uoregon.primo.exlibrisgroup.com/discovery/fulldisplay?vid=01ALLIANCE_UO:UO&docid=alma99900463273401852&inst=01ALLIANCE_UO&lang=en&context=L&adaptor=Local%20Search%20Engine&offset=0,A shelled fish is printed on a nosatsu slip in full red color on a blue field. The creature is labeled in black Japanese script.
n06,nosatsu_man_and_collection.jpg,Man Sitting with Collection,image/jpeg,35.4437,139.638,1841-1932,Japan,page; man; collection; slips; nosatsu;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Collection of the Japanese color-printed placards and greeting cards, called Nōsatsu or Senjafuda""",Book. 59 volumes (unpaged double leaves) mounted color illustrations 31-39 cm,Volume 52,Frederick Starr,Gertrude Bass Warner Collection,https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma9979576601852,"The right side of this volume's page shows a man in full color sitting, his head surrounded by Japanese script. The left side shows various Nosatsu prints, one shows Japanese script striped in red and white on a field of blue and surrounded by white stars."
n07,nosatsu_narrative_with_figures.jpg,A Narrative of Figures,image/jpeg,35.4437,139.638,1921,Japan,page; slips; nosatsu; narrative; collection; series;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Four volumes containing Nōsatsu or Senjafuda""","
4 volumes : mounted color illustrations, 29-34 cm",Volume 1,"Frederick Starr and 
Schenck, W. Egbert",Gertrude Bass Warner Collection,https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma99900813635701852 ,This volume contains a series of numbered nosatsu slips. The image shows the first five. Acompanying each set of numberd slips are long descriptions in English.
n08,nosatsu_parchment_rider.jpg,Slip of a Rider,image/jpeg,35.4437,139.638,19--?,Japan,page; nosatsu; parchment; person; animal;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Collection of votive offerings for Inari shinko. Description""",16 volumes : illustrations ; 32 cm,,Unknown,Gertrude Bass Warner Collection,https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma99125895301852,A human figure is shown riding on the back of a four legged creature on the left page. The right side of the page contains a library call number and some notes on the item's origin.
n09,nosatsu_pop_collection.jpg,Colorful Collection,image/jpeg,35.4437,139.638,1977,Japan,page; nosatsu; slips; multicolor; pop; collection;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Nōsatsu to senjafuda""",Book (79 pages : all color illustrations ; 35 cm & explanatory booklet),Pages 34-35,Senrei Sekioka,,https://alliance-uoregon.primo.exlibrisgroup.com/discovery/fulldisplay?vid=01ALLIANCE_UO:UO&docid=alma99900505776401852&inst=01ALLIANCE_UO&lang=en&context=L&adaptor=Local%20Search%20Engine&offset=0,Pages 34 and 35 of this volume show four blocks of nine nosatsu slips each. All in full color.
n10,nosatsu_purple.jpg,Purple Slip,image/jpeg,35.4437,139.638,1920 - 1990,Japan,slips; purple; nosatsu;,"
Property rights reside with Special Collections & University Archives, University of Oregon Libraries. Copyright resides with the creators of the documents or their heirs.","""Sobundo senjafuda collection, circa 1920-1990""","
27.75 linear ft. (16 containers)",Box 2,Sato Masao (Shubundo),Shiro Sato,https://alliance-uoregon.primo.exlibrisgroup.com/permalink/01ALLIANCE_UO/1ej399r/alma99900463273401852 ,"This bundle of nosatsu slips are all in this design, but in many different colors. This bundle contains 53 slips."
